,X = 0,X = -200,X = -400,X = -600,X = -800,X = -1000,X = 0,X = 200,X = 400,X = 600,X = 800,X = 1000
p26,0.011232777017100003,1.0776859234059,2.0346767788794,3.1031092880723996,4.110714114031801,5.0975917117476,0.010837843936200001,-1.0147766526975,-2.0123969159313,-3.0760354251570003,-4.0507090186767005,-5.080743736473
p27,0.0449844688885,1.1151838046914,2.0754805924035,3.1475266834617996,4.1586801787994006,5.1487123974862,0.044429458125599994,-0.9844201219297,-1.9849551420208997,-3.0517719765683,-4.0296195856595,-5.0629085168737005
p28,0.0433777575872,1.111129097864,2.0690412669920004,3.1381061660216,4.146266743813601,5.1331826174984,0.0430016560264,-0.9844138705856003,-1.9838543705223997,-3.0498956265120003,-4.027420403716,-5.060688341655201
p29,0.015974524445200002,1.0856967028359998,2.0454564889023996,3.1173866861128,4.128855075296801,5.120356957449999,0.0155916771892,-1.013228864408,-2.0144231416208,-3.0826742022668,-4.062447855934399,-5.0989722877784
p30,-0.004146569876899999,1.0627280696374,2.0200339535895004,3.0891979765524,4.0980060409500005,5.0867743152113,-0.0045091850037,-1.0305685330470002,-2.0288131791125,-3.0937369888677,-4.070259461431901,-5.103094932013
p31,0.009532482935,1.0749073402275,2.03109500919,3.0984195441275006,4.105289981017501,5.091568437567501,0.009180366385000001,-1.0159152652650003,-2.0134036812950007,-3.0776553443075003,-4.053714464735,-5.085687552485
p32,0.0385085946768,1.1052141772431,2.0624341156326,3.1310127033456,4.1386181491737,5.125422174017699,0.0380592751248,-0.9877435487355,-1.9864413620928003,-3.0529568135589003,-4.0315040172207,-5.066619116443801
p33,0.0642483962552,0.7042862132168001,1.2796195011776001,1.9223093901096,2.5290457095712,3.1255181003752006,0.0639501729456,-0.5526838021808,-1.1522770235536002,-1.7941203073888001,-2.3835275157264006,-3.0093437710608004
p34,0.032845359392000006,0.6751460284959999,1.250987158506,1.8948854505832002,2.5028507416812,3.100461307834,0.03259680692960001,-0.5850288068952,-1.1861015224667997,-1.8290157536008003,-2.4193315858324,-3.0464100442692
p35,0.016849151938,1.0312340816785002,1.942154866354,2.957946239548,3.9169912676710004,4.8565891268904995,0.016377198470499996,-0.9599236302829999,-1.9112598744335003,-2.926353476987,-3.8590422660875,-4.8463213297445
p36,0.0430702354336,0.6812799534782001,1.2534854115108,1.8933807957416,2.4972039309262004,3.0905113130801998,0.0427305774746,-0.571437222588,-1.1688099168204,-1.8082580555172,-2.3953521675510006,-3.0189193282104
p37,-0.0030586642786000003,0.6347374596707,1.2061652027343999,1.8450605197488004,2.4480583598900005,3.0406930655510003,-0.0033661768122000006,-0.6167652114791,-1.2137798229571,-1.8525872070531,-2.4391229246593995,-3.0620794842459005
p38,0.0239257418704,0.6646448311923999,1.2391172825829,1.881592875208,2.4878675629552998,3.083642114846,0.0236221282458,-0.5929882353221001,-1.1929359606263001,-1.8351185849082001,-2.4243904953405995,-3.0506144404314997
p39,0.05563881265200001,0.6952790081955,1.2699304529682003,1.9122209272532003,2.5183532613353,3.1143284657998005,0.0553895216481,-0.561009894536,-1.1604233600029,-1.8020671200924,-2.3911349614496,-3.0168268808967005
p40,0.032879083601599995,0.6720295383472,1.2451472165432003,1.8855481093952002,2.490282809212,3.0843489080816,0.0325848966624,-0.5822933803072001,-1.1805209573648001,-1.8206910452760003,-2.4085498252600006,-3.0332430887200004
bara,0.015167995982799996,-2.1472937495843,-4.0845163328776,-6.2441514572326,-8.283980842460899,-10.2850417551631,0.015279052087399998,2.1002424093603,4.1330333848313,6.3076213888089,8.3107529258313,10.333770173999998
cal84,0.0004274639334000007,-0.020489328808400004,-0.039421753191200004,-0.0602827565059,-0.08028704602239997,-0.09973085753800001,0.00020274322790000073,0.020649010046799997,0.0400747354531,0.06113341005410001,0.08021266047060001,0.10069120796429999
